,Ca,Cl,K,N,Na
0,0.0,0.0,0.00020000000000000242,0.0011999999999999802,0.0009999999999999792
1,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
2,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
3,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
4,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
5,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
6,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
7,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
8,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
9,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
10,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
11,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
12,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
13,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
14,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
15,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
16,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
17,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
18,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
19,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
20,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
21,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
22,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
23,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
24,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
25,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
26,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
27,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
28,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
29,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
30,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
31,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
32,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
33,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
34,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
35,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
36,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
37,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
38,0.0,0.0,0.00019999999999999996,0.0012,0.0009999999999999996
39,0.0,0.0012000000000000003,0.0001998961987618972,0.0,0.0009991038012381024
40,0.0,0.0012000000000000005,0.00019983148591956495,0.0,0.000998168514080435
41,0.0,0.0012000000000000005,0.00019989504139041031,0.0,0.000998104958609593
42,0.0,0.0012000000000000008,0.00020072787566621293,0.0,0.0010012721243337875
43,0.0,0.0012000000000000008,0.00020072686935107716,0.0,0.0010002731306489236
44,0.0,0.001199999999999999,0.000200517956823594,0.0,0.0009974820431764065
45,0.0,0.0011999999999999995,0.0002010124880063952,0.0,0.0009999875119936052
46,0.0,0.0012000000000000014,0.00020090369096487096,0.0,0.0009990963090351292
47,0.0,0.001199999999999999,0.0002010442029473279,0.0,0.00099995579705267
48,0.0,0.001199999999999999,0.0002009233984527636,0.0,0.000999076601547237
49,0.0,0.0011999999999999997,0.00020153920178765184,0.0,0.0010004607982123472
50,0.0,0.0012000000000000005,0.00020160959522690238,0.0,0.000999390404773097
51,0.0,0.0011999999999999997,0.00020175755111197214,0.0,0.000999242448888118
52,0.0,0.0011999999999999992,0.00020184946188420513,0.0,0.000999150538115808
53,0.0,0.0011999999999999997,0.0002015931859008586,0.0,0.0009964068140991414
54,0.0,0.0011999999999999997,0.0002016426899889126,0.0,0.000995357310011089
55,0.0,0.0012000000000000003,0.00020209189313608988,0.0,0.00099790810686391
56,0.0,0.0011999999999999977,0.00020330141735338885,0.0,0.0009976985826651273
57,0.0,0.0012000000000000001,0.0002080554433875605,0.0,0.0009919445566124393
58,0.0,0.0011999999999999992,0.00023049872668322565,0.0,0.0009725012733167741
59,0.0,0.0012,0.0003149005677232042,0.0,0.0008830994322767959
60,0.0,0.001199999999999965,0.0005552497795980389,0.0,0.0006447502204017909
61,0.0,0.0012000000000000003,0.0008915454409538704,0.0,0.00031045455905637324
62,0.0,0.0011999999999999641,0.0010976330474419366,0.0,0.00010236695255500037
63,0.0,0.0012000000000000003,0.0011740964964810578,0.0,2.7903503543376453e-05
64,0.0,0.0012000000000000001,0.0011910818233847856,0.0,6.918176615213902e-06
65,0.0,0.0012000000000421602,0.0011969239522448862,0.0,1.0760478016281465e-06
66,0.0,0.0011999999999999988,0.0012008332059436936,0.0,1.6679405630633256e-07
67,0.0,0.0012000000000000242,0.0012009742257751775,0.0,2.577422484640424e-08
68,0.0,0.0011999999999999988,0.0011999960180583507,0.0,3.981941650205084e-09
69,0.0,0.0012000000000000001,0.0012039993839968624,0.0,6.160031371790611e-10
70,0.0,0.0012000000000000003,0.0011979999050949059,0.0,9.490509430431004e-11
71,0.0,0.0011999999999999652,0.0011999999853013052,0.0,1.469865978683111e-11
72,0.0,0.0011999999999999988,0.0012019999977267199,0.0,2.2732816450504294e-12
73,4.185096841272425e-08,0.0012000000000000008,0.0011999162977118795,0.0,3.5129555295486013e-13
74,5.648567700583008e-06,0.0012000000000000001,0.001189702864541807,0.0,5.726852176198628e-14
75,0.0002497790679523571,0.0012000000000000001,0.0006994418640889117,0.0,6.356625582733322e-15
76,0.0005519543422742817,0.0012,9.50913154512707e-05,0.0,1.65456666034605e-16
77,0.000595982190014884,0.0012000000000000003,9.035619970234727e-06,0.0,3.017540952693445e-18
78,0.0005996273777909208,0.0011999999999999986,7.452444181588664e-07,0.0,5.315865500932405e-20
79,0.0005999693495018222,0.0012000000000152464,6.130122122331575e-08,0.0,9.339361583855384e-22
80,0.0005999974794318393,0.0012000000000001035,5.0411378438307385e-09,0.0,1.6403965735000167e-23
81,0.0005999997927240618,0.0012000000000000012,4.1455188638711763e-10,0.0,2.881186323580533e-25
82,0.0005999999829549426,0.001199999999999999,3.4090115157641784e-11,0.0,0.0
83,0.0005999999991296,0.0012000000002766959,2.8033542357293926e-12,0.0,0.0
84,0.0006,0.0012000000000000003,2.3053001844765104e-13,0.0,0.0
85,0.0006000000000436895,0.0012000000000227538,1.89573221842265e-14,0.0,0.0
86,0.0005999999999997973,0.0011999999999998947,1.558929581129258e-15,0.0,0.0
87,0.0005999999999968923,0.0011999999999983818,1.281964520191535e-16,0.0,0.0
88,0.0005999999999997899,0.001199999999999891,1.0542060745418215e-17,0.0,0.0
89,0.000600000000000187,0.0012000000000000973,8.669120184222927e-19,0.0,0.0
90,0.000600000000000025,0.0012000000000000138,7.128933016869389e-20,0.0,0.0
91,0.0005999999999999893,0.0011999999999999953,5.862381069514883e-21,0.0,0.0
92,0.0005999999999999973,0.001199999999999999,4.820849317754189e-22,0.0,0.0
93,0.0006000000000000004,0.0012000000000000003,3.9643598588809857e-23,0.0,0.0
94,0.0006000000000000004,0.0012000000000000003,3.260037409431057e-24,0.0,0.0
95,0.0005999999999999998,0.0012000000000000003,2.6808474280255693e-25,0.0,0.0
96,0.0005999999999999998,0.0012000000000000003,0.0,0.0,0.0
97,0.0005999999999999998,0.0012000000000000003,0.0,0.0,0.0
98,0.0005999999999999998,0.0012000000000000003,0.0,0.0,0.0
99,0.0005999999999999998,0.0012000000000000003,0.0,0.0,0.0
100,0.0005999999999999998,0.0012000000000000003,0.0,0.0,0.0
101,0.0005999999999999998,0.0012000000000000003,0.0,0.0,0.0
102,0.0005999999999999998,0.0012000000000000003,0.0,0.0,0.0
103,0.0005999999999999998,0.0012000000000000003,0.0,0.0,0.0
104,0.0005999999999999998,0.0012000000000000003,0.0,0.0,0.0
105,0.0005999999999999998,0.0012000000000000003,0.0,0.0,0.0
106,0.0005999999999999998,0.0012000000000000003,0.0,0.0,0.0
107,0.0005999999999999998,0.0012000000000000003,0.0,0.0,0.0
108,0.0005999999999999998,0.0012000000000000003,0.0,0.0,0.0
109,0.0005999999999999998,0.0012000000000000003,0.0,0.0,0.0
110,0.0005999999999999998,0.0012000000000000003,0.0,0.0,0.0
111,0.0005999999999999998,0.0012000000000000003,0.0,0.0,0.0
112,0.0005999999999999998,0.0012000000000000003,0.0,0.0,0.0
113,0.0005999999999999998,0.0012000000000000003,0.0,0.0,0.0
114,0.0005999999999999998,0.0012000000000000003,0.0,0.0,0.0
115,0.0005999999999999998,0.0012000000000000003,0.0,0.0,0.0
116,0.0005999999999999998,0.0012000000000000003,0.0,0.0,0.0
117,0.0005999999999999998,0.0012000000000000003,0.0,0.0,0.0
118,0.0005999999999999998,0.0012000000000000003,0.0,0.0,0.0
119,0.0005999999999999998,0.0012000000000000003,0.0,0.0,0.0
